produto,arquivo,caminho_site
"Percarbonato Whitelux 1Kg","percarbonato_whitelux_1kg.jpg","img/produtos/percarbonato_whitelux_1kg.jpg"
"Azulim Perfumes De Casa 500Ml","azulim_perfumes_de_casa_500ml.jpg","img/produtos/azulim_perfumes_de_casa_500ml.jpg"
"Maridao Limpeza Pesada 1L","maridao_limpeza_pesada_1l.jpg","img/produtos/maridao_limpeza_pesada_1l.jpg"
"Azulim Perfumes De Casa 500Ml Novo","azulim_perfumes_de_casa_500ml_novo.jpg","img/produtos/azulim_perfumes_de_casa_500ml_novo.jpg"
"Azulim Gel Lavanda 500G","azulim_gel_lavanda_500g.jpg","img/produtos/azulim_gel_lavanda_500g.jpg"
"Cif Limpeza Profissional","cif_limpeza_profissional.jpg","img/produtos/cif_limpeza_profissional.jpg"
"Vorel Lavanda","vorel_lavanda.jpg","img/produtos/vorel_lavanda.jpg"
"Removedor Brasil 1L","removedor_brasil_1l.jpg","img/produtos/removedor_brasil_1l.jpg"
"Amaciante Homeland Le Blue 5L","amaciante_homeland_le_blue_5l.jpg","img/produtos/amaciante_homeland_le_blue_5l.jpg"
"Azulim Perfumes De Casa Alegria 500Ml","azulim_perfumes_de_casa_alegria_500ml.jpg","img/produtos/azulim_perfumes_de_casa_alegria_500ml.jpg"
"Amaciante Bonrrique 5L","amaciante_bonrrique_5l.jpg","img/produtos/amaciante_bonrrique_5l.jpg"
"Sabao Liquido Girassol Omex 5L","sabao_liquido_girassol_omex_5l.jpg","img/produtos/sabao_liquido_girassol_omex_5l.jpg"
"Lava Roupas Homeland Ultra Laundry 5L","lava_roupas_homeland_ultra_laundry_5l.jpg","img/produtos/lava_roupas_homeland_ultra_laundry_5l.jpg"
"Sabao Liquido Girassol Omex Promo 5L","sabao_liquido_girassol_omex_promo_5l.jpg","img/produtos/sabao_liquido_girassol_omex_promo_5l.jpg"
"Sabao Liquido Clineza 2L","sabao_liquido_clineza_2l.jpg","img/produtos/sabao_liquido_clineza_2l.jpg"
"Gel Higienizador Viver 500Ml","gel_higienizador_viver_500ml.jpg","img/produtos/gel_higienizador_viver_500ml.jpg"
"Lava Roupas Bonrrique 5L","lava_roupas_bonrrique_5l.jpg","img/produtos/lava_roupas_bonrrique_5l.jpg"
"Lava Roupas Ares Refil 900Ml","lava_roupas_ares_refil_900ml.jpg","img/produtos/lava_roupas_ares_refil_900ml.jpg"
"Limpa Vidros Bonrrique 1L","limpa_vidros_bonrrique_1l.jpg","img/produtos/limpa_vidros_bonrrique_1l.jpg"
"Detergente Neutro Girassol 5L","detergente_neutro_girassol_5l.jpg","img/produtos/detergente_neutro_girassol_5l.jpg"
"Pretinho Clineza 1L","pretinho_clineza_1l.jpg","img/produtos/pretinho_clineza_1l.jpg"
"Shampoo Automotivo Clineza 1L","shampoo_automotivo_clineza_1l.jpg","img/produtos/shampoo_automotivo_clineza_1l.jpg"
"Difusor Aromas Novo Frescor 100Ml","difusor_aromas_novo_frescor_100ml.jpg","img/produtos/difusor_aromas_novo_frescor_100ml.jpg"
"Detergente Neutro Girassol 5L Preco 20","detergente_neutro_girassol_5l_preco_20.jpg","img/produtos/detergente_neutro_girassol_5l_preco_20.jpg"
"Lava Louca Maquina Alvejapro","lava_louca_maquina_alvejapro.jpg","img/produtos/lava_louca_maquina_alvejapro.jpg"
"Sabao Liquido Omex 5L","sabao_liquido_omex_5l.jpg","img/produtos/sabao_liquido_omex_5l.jpg"
"Pomadas Gel Massageador 200G","pomadas_gel_massageador_200g.jpg","img/produtos/pomadas_gel_massageador_200g.jpg"
